7;By case nb;Continent;Countries;;Schools;date;Restaurants;date;Sporting Events;Date;Elections;Date;Mass Gatherings;Date;Travel Restrictions;Date;Domestic lockdown;Date;Public Testing;Health Emergency;Date;Economy Support;Date;First case(s) confirmed;Enhanced Surveillance (?);;;;;
164;97;Americas;French Guiana;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;98;Americas;Cuba;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;99;Europe;Lichtenstein;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;100;Americas;Uruguay;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;101;Asia;Bangladesh;;;;;;;;;;;;India, Kuwait, Qatar;;;;;;;;;;;;;;;
169;102;Europe;Ukraine;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;103;Americas;Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;104;Africa;Cameroon;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;105;Africa;Burkina Faso;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;106;Europe;Monaco;;;March 16;;March 16;;March 16;N/A;;N/A;;Recommendations;;N/A;;N/A;N/A;;N/A;;February 29;;;;;;
174;107;Europe;Jersey;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;108;Africa;Ghana;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;109;Africa;Nigeria;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;110;Africa;Namibia;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;111;Africa;Congo (Kinshasa);;;;;;;;;;;;;;;;;;;;;;;;;;;
179;112;Americas;Venezuela;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;113;Americas;Trinidad and Tobago;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;114;Americas;Honduras;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;115;Africa;Ethiopia;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;116;Americas;Guatemala;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;117;Africa;Gabon;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;118;Americas;Saint Vincent and the Grenadines;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;119;Africa;Kenya;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;120;Americas;Santa Lucia;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;121;Asia;Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;122;Africa;Rwanda;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;123;Africa;Togo;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;124;Americas;Cayman Island;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;125;Africa;Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;126;Europe;Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;127;Europe;Guernsey;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;128;Americas;Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;129;Africa;Eswatini;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;130;Americas;Curacao;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;131;Asia;Bhutan;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;132;Africa;Sudan;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;133;Asia;Nepal;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;134;Americas;Suriname;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;135;Africa;Ivory Coast;;;;;;;;;;;;;;;;;;;;;March 12;;;;;;
203;136;Middle East;Jordan;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;137;Africa;Mauritania;;;;;;;;;;;;;;;;;;;;;;;;;;;
